source_text,translated_text
Field not permitted in query,Pole niedozwolone w zapytaniu
Used Leave(s),Wykorzystane urlopy
Login to start a new discussion,"Zaloguj się, aby rozpocząć nową dyskusję"
Optimize,Optymalizacja
Leave Policy: {0} already assigned for Employee {1} for period {2} to {3},Polityka urlopowa: {0} już przydzielony dla pracownika {1} na okres od {2} do {3}.
Move cursor to above row,Przesunięcie kursora do wiersza powyżej
Google Drive Picker,Google Drive Picker
Earnings and Taxation,Zyski i opodatkowanie
Custom Group Search,Niestandardowe wyszukiwanie grupowe
Module HTML,Moduł HTML
Discussion Reply,Dyskusja Odpowiedź
{0} is not a valid parentfield for {1},{0} nie jest prawidłowym polem nadrzędnym dla {1}.
"Configure various aspects of how document naming works like naming series, current counter.","Konfiguracja różnych aspektów działania nazewnictwa dokumentów, takich jak seria nazw, licznik bieżący."
long,długi
Currency of selected Income Tax Slab should be {0} instead of {1},Waluta wybranej płyty podatku dochodowego powinna wynosić {0} zamiast {1}.
Round Name,Okrągła nazwa
Divider,Dzielnik
Role 'All' will be given to all System Users.,"Rola """"Wszyscy"""" zostanie nadana wszystkim użytkownikom systemu."
Please Enable Auto Attendance and complete the setup first.,Najpierw włącz funkcję automatycznej obecności i zakończ konfigurację.
this shouldn't break,to nie powinno się zepsuć
Publish as a web page,Opublikuj jako stronę internetową
Restrict Backdated Leave Application,Ograniczenie wniosku o urlop z datą wsteczną
{0}: fieldname cannot be set to reserved keyword {1},{0}: nazwa pola nie może być ustawiona na zarezerwowane słowo kluczowe {1}
Accounts Payable Ageing,Przedawnienie zobowiązań
SALES ORDER,AUFTRAGSBESTÄTIGUNG
Please select month and year.,Wybierz miesiąc i rok.
Current Month Income Tax,Podatek dochodowy za bieżący miesiąc
Out of 5,Na 5
Client Id,Identyfikator klienta
Image optimized,Obraz zoptymalizowany
Fraction of Applicable Earnings,Ułamek odpowiednich zarobków
{0} criticism points for {1},{0} punktów krytyki dla {1}
Feedback HTML,Informacje zwrotne HTML
Vacancies fulfilled,Wolne miejsca pracy obsadzone
Send me a copy,Wyślij kopię do mnie
Assets Allocated,Przydzielone aktywa
Loan Intereset Raport,Raport Interesu Pożyczkowego
{0} is not a holiday.,{0} nie jest dniem wolnym od pracy.
Avg Feedback Score,Średni wynik opinii
Automate Payment Entry Creation,Automatyzacja tworzenia wpisów płatności
Insufficient attachment limit,Niewystarczający limit załączników
"Custom LDAP Directoy Selected, please ensure 'LDAP Group Member attribute' and 'Group Object Class' are entered","Wybrano Custom LDAP Directoy, upewnij się, że wprowadzono """"LDAP Group Member attribute"""" i """"Group Object Class""""."
"Accounts, Invoices, Taxation, and more.","Rachunki, faktury, podatki i inne."
Opportunity Owner,Właściciel szansy sprzedaży
Total Incoming Payment,Całkowita płatność przychodząca
Connect to {},Połącz z {}
Sales Order,Zlecenie sprzedaży
Encrypt Backups,Szyfrowanie kopii zapasowych
Revoke Key,Cofnięcie klucza
Publish in Website,Publish in Website
Could not submit some Salary Slips: {},Nie można przesłać niektórych odcinków wynagrodzenia: {}
Feedback cannot be recorded for an absent Employee.,Informacja zwrotna nie może zostać zarejestrowana dla nieobecnego Pracownika.
Company registration numbers for your reference. Tax numbers etc.,Numery rejestracyjne firmy w celach informacyjnych. Numery podatkowe itp.
Associated Document Type,Powiązany typ dokumentu
Interview Feedback {0} submitted successfully,Pomyślne przesłanie opinii o wywiadzie {0}
Insufficient Permission Level for {0},Niewystarczający poziom uprawnień dla {0}
Link the cycle and tag KRA to your goal to update the appraisal's goal score based on the goal progress,"Połącz cykl i oznacz KRA z celem, aby zaktualizować wynik celu oceny w oparciu o postępy w realizacji celu."
HR-HIREQ-,HR-HIREQ-
To Receive,Do odbioru
Attendance for all the employees under this criteria has been marked already.,Obecność wszystkich pracowników w ramach tego kryterium została już zaznaczona.
Posting date,Data wysłania
Add/Update Filter,Dodaj/aktualizuj filtr
Let's Set Up the Buying Module.,Przejdźmy przez kilka ustawień zakupu.
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 waluta = [?] ułamek
Na przykład 1 USD = 100 centów"
Support Team,Dział wsparcia
"These leaves are holidays permitted by the company however, availing it is optional for an Employee.","Urlopy te są urlopami dozwolonymi przez firmę, jednak skorzystanie z nich jest opcjonalne dla pracownika."
PDF Page Height (in mm),PDF Wysokość strony (w mm)
Logs To Clear,Dzienniki do wyczyszczenia
{0} Missing,{0} Brakujące
Section Title,Tytuł sekcji
You can only insert images in Markdown fields,Obrazy można wstawiać tylko w polach Markdown
Enable email notification for any comment or likes received on your Blog Post.,Włącz powiadomienia e-mail o każdym komentarzu lub polubieniu otrzymanym w Twoim poście na blogu.
Insufficient Permissions for deleting Report,Niewystarczające uprawnienia do usunięcia raportu
Please login to post a comment.,"Zaloguj się, aby opublikować komentarz."
Patch type {} not found in patches.txt,Nie znaleziono poprawki typu {} w pliku patches.txt
Invalid Condition: {},Nieprawidłowy warunek: {}
Donation Settings,Ustawienia darowizn
Employee Referral {0} is not applicable for referral bonus.,Polecenie pracownika {0} nie ma zastosowania do premii za polecenie.
ii,ii
Repay Unclaimed Amount from Salary,Zwrot nieodebranej kwoty z wynagrodzenia
{0} has been verified.,{0} został zweryfikowany.
Child DocTypes are not allowed,Podrzędne typy DocTypes nie są dozwolone
Delete 1 item permanently?,Usunąć 1 element na stałe?
Parent Field,Pole rodzica
Google Drive Picker Enabled,Google Drive Picker Włączony
Your site is getting upgraded.,Twoja witryna jest aktualizowana.
Interview Round {0} is only applicable for the Designation {1},Runda rozmowy kwalifikacyjnej {0} ma zastosowanie tylko do oznaczenia {1}.
Birthdays,Urodziny
Scheduler can not be re-enabled when maintenance mode is active.,"Harmonogramu nie można ponownie włączyć, gdy aktywny jest tryb konserwacji."
K,K
Month To Date,Od początku miesiąca
bar,pasek
You can only set the 3 custom doctypes in the Document Types table.,W tabeli typów dokumentów można ustawić tylko 3 niestandardowe typy dokumentów.
To Deliver and Bill,Do dostarczenia i rozliczenia
Apply Perm Level on API calls (Recommended),Stosowanie poziomu Perm do wywołań API (zalecane)
Interview Rescheduled successfully,Wywiad został pomyślnie przełożony
Grid Shortcuts,Skróty siatki
Auto follow documents that you Like,"Automatyczne śledzenie dokumentów, które lubisz"
PUT,PUT
Success Title,Tytuł sukcesu
Landing Page,Strona docelowa
"Enable if on click
opens modal.","Włącz, jeśli po kliknięciu
otworzy się okno modalne."
Workspace Custom Block,Blok niestandardowy obszaru roboczego
Return amount cannot be greater than unclaimed amount,Kwota zwrotu nie może być wyższa niż kwota nieodebrana
Spacer,Podkładka dystansowa
ClearExcel,WyczyśćExcel
"Include symbols, numbers and capital letters in the password","Hasło powinno zawierać symbole, cyfry i wielkie litery."
Please select the Appraisal Cycle first.,Najpierw wybierz cykl oceny.
Total Stock Summary,Całkowite podsumowanie stanów magazynowych
Active Directory,Active Directory
Please enter your new password.,Wprowadź nowe hasło.
You must be logged in to use this form.,"Musisz być zalogowany, aby korzystać z tego formularza."
Execution Order,Nakaz wykonania
Please select the attendance status.,Wybierz status obecności.
get_shade method has been deprecated.,metoda get_shade została wycofana.
In List Filter,W filtrze listy
Parent Missing,Brakujący rodzic
Timeout,Limit czasu
Bottom Right,Prawy dolny róg
Connection Lost,Utracone połączenie
Attendance from {0} to {1} has already been marked for the Employee {2},Obecność od {0} do {1} została już zaznaczona dla pracownika {2}.
Enter fields in the right sequence as per the template parameters.,"Wprowadź pola w odpowiedniej kolejności, zgodnie z parametrami szablonu."
Auto Reply ,Automatyczna odpowiedź
Misconfigured,Błędna konfiguracja
Row #{0}: The {1} Component has the options {2} and {3} enabled.,Wiersz #{0}: Komponent {1} Komponent ma włączone opcje {2} i {3}.
Enabling this will allow creation of multi-currency invoices against single party account in company currency,Włączenie tej opcji pozwoli na tworzenie faktur wielowalutowych na konto jednej strony w walucie firmy.
Request Account Deletion,Żądanie usunięcia konta
Recorder is Inactive.,Rejestrator jest nieaktywny.
Note: Etc timezones have their signs reversed.,Uwaga: W innych strefach czasowych znaki są odwrócone.
Ilość,Menge
Deleting {0} records,Usuwanie {0} rekordów
new-sales-order-1,nowe-zlecenie-sprzedaży-1
Rank,Pozycja
Appraisal KRA,Ocena KRA
No attendance records found for this criteria.,Nie znaleziono zapisów obecności dla tego kryterium.
Discussion Topic,Temat dyskusji
Show Leave Balances in Salary Slip,Wyświetlanie salda urlopów na odcinku wynagrodzenia
"Please set """"Default Payroll Payable Account"""" in Company Defaults","Ustaw """"Domyślne konto do wypłaty wynagrodzeń"""" w Domyślnych ustawieniach firmy."
Leave(s) Taken,Wykorzystane urlopy
Link Details,Szczegóły łącza
Tax Detail,Szczegóły podatkowe
Failed to get method for command {0} with {1},Nie udało się uzyskać metody dla polecenia {0} z {1}.
Select your Leave Approver i.e. the person who approves or rejects your leaves.,"Wybierz osobę zatwierdzającą urlopy, tj. osobę, która zatwierdza lub odrzuca urlopy."
Package Import,Import pakietów
Collapse,Zwiń
"Disable {0} for the {1} component, to prevent the amount from being deducted twice, as its formula already uses a payment-days-based component.","Wyłącz {0} dla składnika {1}, aby zapobiec dwukrotnemu odliczeniu kwoty, ponieważ jego formuła wykorzystuje już składnik oparty na dniach płatności."
No Membership Payments found against the Member {0},Nie znaleziono żadnych płatności członkowskich dla członka {0}.
Cannot edit Standard charts,Nie można edytować wykresów standardowych
Jan,Sty
A field with the name {0} already exists in {1},Pole o nazwie {0} już istnieje w {1}.
Helvetica Neue,Helvetica Neue
Customer Naming By,Nazewnictwo klienta według
Custom,Niestandardowe
Loading user profile,Ładowanie profilu użytkownika
All Results,Wszystkie wyniki
Schedule Newsletter,Harmonogram biuletynu
Card Links,Linki do kart
{0} is not a valid parent DocType for {1},{0} nie jest prawidłowym typem nadrzędnym DocType dla {1}
Scan QRCode,Skanowanie kodu QRCode
Łóżko kontynentalne Kaspian 180x200 Soft 17,Kaspisches Kontinentalbett 180x200 Soft 17
Send Web View Link,Wyślij łącze do widoku internetowego
Standard Working Hours,Standardowe godziny pracy
Cannot map because following condition fails:,"Nie można zmapować, ponieważ następujący warunek nie powiódł się:"
IMAP Folder,Folder IMAP
Shared With,Współdzielone z
Add / Remove Columns,Dodaj / Usuń kolumny
via Google Meet,przez Google Meet
Select the date from which this Leave Allocation will be valid.,"Wybierz datę, od której ten przydział urlopu będzie ważny."
Verify Contributed Translation,Weryfikacja dostarczonego tłumaczenia
Expression,Ekspresja
CTC,CTC
Progress Updated successfully,Postęp Zaktualizowano pomyślnie
Show Pay Button in Purchase Order Portal,Pokaż przycisk płatności w portalu zamówień zakupu
Customize Print Formats,Dostosuj formaty wydruku
Check Stock Ledger,Sprawdź księgę zapasów
Cannot create Salary Slip for Employee joining after Payroll Period,Nie można utworzyć odcinka wynagrodzenia dla pracownika dołączającego po okresie rozliczeniowym
Mark as Completed,Oznacz jako ukończone
"Using enqueue with is_async=False outside of tests is not recommended, use now=True instead.","Używanie enqueue z is_async=False poza testami nie jest zalecane, zamiast tego należy użyć now=True."
Leads,Potencjalni klienci
Disable Username/Password Login,Wyłącz logowanie przy użyciu nazwy użytkownika/hasła
OAuth Scope,Zakres OAuth
SQL Explain,SQL Explain
Enter a name for this {0},Wprowadź nazwę dla tego {0}.
Change Letter Head,Zmiana nagłówka listu
"Name already taken, please set a new name","Nazwa już zajęta, prosimy o ustawienie nowej nazwy"
"Hide Previous, Next and Close button on highlight dialog.","Ukryj przyciski Poprzedni, Następny i Zamknij w oknie dialogowym podświetlenia."
Reject Employee Referral,Odrzucenie polecenia pracownika
No jobs found on this site,Na tej stronie nie znaleziono żadnych ofert pracy
Constraints,Ograniczenia
Employee {0} has already applied for {1} between {2} and {3} : {4},Pracownik {0} złożył już wniosek o {1} między {2} a {3} : {4}.
\u2190 Back to upload files,\u2190 Powrót do przesyłania plików
Preview type,Typ podglądu
Scheduler: Inactive,Harmonogram: Nieaktywny
Receive anonymous response,Otrzymywanie anonimowych odpowiedzi
OpenID Configuration,Konfiguracja OpenID
{0} Page views,{0} Odsłon strony
Add Card to Dashboard,Dodaj kartę do pulpitu nawigacyjnego
Sales,Sprzedaż
Referrer Name,Nazwa polecającego
"If checked, Payroll Payable will be booked against each employee","Jeśli to pole jest zaznaczone, lista płac zostanie zaksięgowana dla każdego pracownika."
Document has been submitted,Dokument został przesłany
Series counter for {} updated to {} successfully,Licznik serii dla {} został pomyślnie zaktualizowany do {}
The link you trying to login is invalid or expired.,"Link, za pomocą którego próbujesz się zalogować, jest nieprawidłowy lub wygasł."
Unlinked logs,Niepowiązane dzienniki
Please attach an image file to set HTML for Footer.,"Załącz plik graficzny, aby ustawić HTML dla stopki."
States,Stany
Audience,Publiczność
{0} submitted this document,{0} przesłał ten dokument
Document not Relinked,Dokument nie został ponownie połączony
List / Search Settings,Ustawienia listy / wyszukiwania
Select Document,Wybierz dokument
Meets Condition?,Spełnia warunki?
Enable Website Tracking,Włącz śledzenie witryny
Use HTML,Użyj HTML
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","Nazwa DocType powinna zaczynać się od litery i może składać się wyłącznie z liter, cyfr, spacji, podkreśleń i myślników"
Less than 12 months.,Mniej niż 12 miesięcy.
audio,audio
Last Day,Ostatni dzień
Notification sent to,Powiadomienie wysłane do
Disable {0} or {1} to proceed.,"Wyłącz {0} lub {1}, aby kontynuować."
Conversation ID,Identyfikator konwersacji
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} musi zaczynać się i kończyć literą i może zawierać tylko litery,
				myślnik lub podkreślenie."
Reflections,Refleksje
Following links are broken in the email content: {0},Następujące linki są uszkodzone w treści wiadomości e-mail: {0}
Password missing in Email Account,Brak hasła na koncie e-mail
System will automatically create the serial numbers / batch for the Finished Good on submission of work order,System automatycznie utworzy numery seryjne / partię dla wyrobów gotowych po złożeniu zlecenia roboczego.
GNU General Public License,Powszechna Licencja Publiczna GNU
Parent Goal,Cel rodzica
Login with email link expiry (in minutes),Logowanie z wygaśnięciem linku e-mail (w minutach)
Total Allocated Leave(s),Przydzielone urlopy ogółem
Enables Calendar and Gantt views.,Włącza widoki kalendarza i Gantta.
Delete,Usuń
Major,Major
Delete Transactions,Usuń transakcje
Select Letterhead,Wybór papieru firmowego
Preview of generated names,Podgląd wygenerowanych nazw
Leave Type can either be without pay or partial pay,Typ urlopu może być bezpłatny lub częściowo płatny
Multiple Additional Salaries with overwrite property exist for Salary Component {0} between {1} and {2}.,Istnieje wiele dodatkowych wynagrodzeń z właściwością nadpisywania dla składnika wynagrodzenia {0} między {1} a {2}.
You are not permitted to access this page without login.,Dostęp do tej strony bez zalogowania jest zabroniony.
POS Search Fields,Pola wyszukiwania POS
Is Custom,Czy niestandardowy
"If checked, the component will not be displayed in the salary slip if the amount is zero","Jeśli opcja ta jest zaznaczona, składnik nie będzie wyświetlany na odcinku wynagrodzenia, jeśli kwota wynosi zero."
Is Partially Paid Leave,Częściowo płatny urlop
New Workspace,Nowy obszar roboczy
Copy error to clipboard,Kopiowanie błędu do schowka
Invoice Cancellation,Anulowanie faktury
Dark,Ciemny
Account Deletion Settings,Ustawienia usuwania konta
Make Serial No / Batch from Work Order,Zezwalaj na przesyłanie surowców nawet po osiągnięciu wymaganej ilości.
Editing {0},Edycja {0}
Donation Payment To,Wpłata darowizny na konto
Desk Theme,Motyw biurka
Annual Revenue,Roczny przychód
Standard Reports cannot be edited,Raportów standardowych nie można edytować
Allowed Modules,Dozwolone moduły
Introspection URI,Introspekcja URI
Show Account Deletion Link in My Account Page,Pokaż link do usunięcia konta na stronie Moje konto
Activities,Działania
Try Again,Spróbuj ponownie
Total Incoming Bills,Przychodzące rachunki ogółem
Jane Doe,Jane Doe
Interviewers,Ankieterzy
Please select employees to create appraisals for,"Wybierz pracowników, dla których chcesz utworzyć oceny"
Get PDF,Pobierz PDF
Employee Exit Settings,Ustawienia wyjścia pracownika
Scan,Skanowanie
Minimum Net Rate,Minimalna stawka netto
WhatsApp Template requires a document.,Szablon WhatsApp wymaga dokumentu.
Salary Component,Składnik wynagrodzenia
Changing rounding method on site with data can result in unexpected behaviour.,Zmiana metody zaokrąglania na miejscu z danymi może spowodować nieoczekiwane zachowanie.
Base & Variable,Podstawowe i zmienne
Customize Child Table,Dostosuj tabelę dla dziecka
Interview Summary,Podsumowanie wywiadu
Retirement Age (In Years),Wiek emerytalny (w latach)
Commented on {0}: {1},Skomentował {0}: {1}
Please delete the field from {0} or add the required doctype.,Usuń pole z {0} lub dodaj wymagany doctype.
Please select X and Y fields,Wybierz pola X i Y
Enable Discount Accounting for Selling,Włącz rozliczanie rabatów dla sprzedaży
queued,ogon
removed rows for {0},usunięte wiersze dla {0}
Search or type a command (Ctrl + G),Wyszukaj lub wpisz polecenie (Ctrl + G)
Maintenance Schedule,Harmonogram serwisowy
Work In Progress,W toku
Strong,Silne
Weak,Słabe
Maintenance User,Użytkownik serwisowy
Share,Wspódzielenie
Delivery User,Użytkownik ds. dostaw
Delivery Manager,Kierownik ds. dostaw
Menedżer przestrzeni roboczej,Menedżer przestrzeni roboczej
In Words (Company Currency),W słowach (waluta firmy)
Show Title in Link Fields,Pokaż tytuł w polach linków
Offset Y,Offset Y
Add Corrective Operation Cost in Finished Good Valuation,Dodanie kosztu operacji naprawczych w wycenie wyrobów gotowych
ascending,rosnący
Capture,Przechwytywanie
"Invalid """"mandatory_depends_on"""" expression","Nieprawidłowe wyrażenie """"mandatory_depends_on"
Goal progress percentage cannot be more than 100.,Procent postępu celu nie może przekraczać 100.
Submitted,Zatwierdzone
Manage third party apps,Zarządzanie aplikacjami innych firm
Queued At,W kolejce
Request Method,Metoda żądania
Introduction to Buying,Wprowadzenia do zakupów
"The percentage you are allowed to transfer more against the quantity ordered. For example, if you have ordered 100 units, and your Allowance is 10%, then you are allowed transfer 110 units.","Wartość procentowa, o jaką użytkownik może przenieść więcej w stosunku do zamówionej ilości. Na przykład, jeśli zamówiłeś 100 jednostek, a Twój przydział wynosi 10%, możesz przenieść 110 jednostek."
Allocate on Day,Przydział w dniu
Default User Role,Domyślna rola użytkownika
Select Interview Round First,Najpierw wybierz rundę wywiadu
Please set {0} for the Employee: {1},Ustaw {0} dla pracownika: {1}
DocType Layout,Układ DocType
Please click on the following link and follow the instructions on the page. {0},Kliknij poniższy link i postępuj zgodnie z instrukcjami na stronie. {0}
Automated Message,Automatyczna wiadomość
Add Background Image,Dodaj obraz tła
An 80G Certificate {0} already exists for the donation {1},Certyfikat 80G {0} już istnieje dla darowizny {1}.
TEXT,tekst
edited this,edytował to
Timelines,Linie czasowe
Updating Opening Balances,Aktualizacja bilansu otwarcia
Force Stop job,Wymuś zatrzymanie zadania
#{0},#{0}
Image link '{0}' is not valid,"Link do obrazu """"{0}"""" jest nieprawidłowy"
Unsettled,Nierozstrzygnięty
Enabling auto reply on an incoming email account will send automated replies to all the synchronized emails. Do you wish to continue?,Włączenie automatycznej odpowiedzi na przychodzące konto e-mail spowoduje wysłanie automatycznych odpowiedzi na wszystkie zsynchronizowane wiadomości e-mail. Czy chcesz kontynuować?
Go to this URL after completing the form,Po wypełnieniu formularza przejdź pod ten adres URL
Please clear the Payment Schedule Table,Wyczyść tabelę harmonogramu płatności
Retained,Zachowane
Purpose,Cel
Under Review,W trakcie przeglądu
Workspace Link,Łącze obszaru roboczego
Encryption key is in invalid format!,Klucz szyfrowania ma nieprawidłowy format!
Employee records are created using the selected option,Rekordy pracowników są tworzone przy użyciu wybranej opcji
Mobile number with country code,Numer telefonu komórkowego z kodem kraju
Contact & Address,Kontakt i adres
review,przegląd
"Inventory, Warehouses, Analysis, and more.","Zapasy, magazyny, analizy i wiele innych."
Gross Year To Date,Brutto od początku roku
finished,zakończony
Default Email Template,Domyślny szablon wiadomości e-mail
Add a Note,Dodaj notatkę
URL must start with http:// or https://,Adres URL musi zaczynać się od http:// lub https://
Save the document.,Zapisz dokument.
Visibility,Widoczność
MIT License,Licencja MIT
% Utilization (B + NB) / T,% wykorzystania (B + NB) / T
Work References,Referencje dotyczące pracy
{0} records are retained for {1} days.,{0} rekordów jest przechowywanych przez {1} dni.
Partly Claimed and Returned,Częściowo odebrane i zwrócone
Completed On,Ukończono dnia
Messages,Wiadomości
A file with same name {} already exists,Plik o tej samej nazwie {} już istnieje
Sales Pipeline Analytics,Analityka potencjału sprzedaży
Reset Password Link Expiry Duration,Czas wygaśnięcia łącza resetowania hasła
View your response,Wyświetl swoją odpowiedź
{0} ({1}),{0} ({1})
Get OpenID Configuration,Pobierz konfigurację OpenID
Group Object Class,Klasa obiektu grupy
Auto Account Deletion within (Hours),Automatyczne usunięcie konta w ciągu (godzin)
Kanban Board,Tablica Kanban
Link To in Row,Link do w wierszu
this form,ten formularz
Success URI,Success URI
Please set the relieving date for employee {0},Ustaw datę zwolnienia dla pracownika {0}.
"Mandatory fields required in table Items, Row 1","Pola obowiązkowe wymagane w tabeli Produkty, wiersz 1"
Calculate Product Bundle Price based on Child Items' Rates,Oblicz cenę pakietu produktów na podstawie stawek elementów podrzędnych
"To set the role {0} in the user {1}, kindly set the {2} field as {3} in one of the {4} record.","Aby ustawić rolę {0} w użytkowniku {1}, należy ustawić pole {2} jako {3} w jednym z rekordów {4}."
DocType State,DocType State
Group goal's progress is auto-calculated based on the child goals.,Postęp celu grupowego jest obliczany automatycznie na podstawie celów dziecka.
Configure the default Price List when creating a new Sales transaction. Item prices will be fetched from this Price List.,Konfiguruje domyślny cennik podczas tworzenia nowej transakcji sprzedaży. Ceny pozycji będą pobierane z tego cennika.
Bonus,Bonus
Calculate Gratuity Amount Based On,Oblicz kwotę gratyfikacji na podstawie
{0} of {1} sent,{0} z {1} wysłane
Frappe Support,Wsparcie Frappe
NPO-80G-.YYYY.-,NPO-80G-.YYYY.-
Marking Attendance,Oznaczanie obecności
My Device,Moje urządzenie
Max Height,Maksymalna wysokość
Open Tasks,Otwarte zadania
Create an Item,Utwórz element
Select the Employee.,Wybierz pracownika.
No {0},No {0}
Maximum Leave Allocation Allowed,Maksymalny dozwolony przydział urlopu
Cancel All,Anuluj wszystko
The page you are looking for has gone missing.,"Strona, której szukasz, zniknęła."
RazorPay Settings for Memberships,Ustawienia RazorPay dla członkostwa
RQ Job,RQ Job
Customize Form - {0},Dostosuj formularz - {0}
Don't create a new user,Nie twórz nowego użytkownika
Total percentage against cost centers should be 100,Całkowity procent w stosunku do centrów kosztów powinien wynosić 100
print-format-builder-beta,print-format-builder-beta
Dashboard Manager,Menadżer pulpitu
No open event,Brak otwartych wydarzeń
Create Interview,Tworzenie wywiadu
Disable Document Sharing,Wyłącz udostępnianie dokumentów
Cancel Scheduling,Anuluj planowanie
Document renaming from {0} to {1} has been queued,Zmiana nazwy dokumentu z {0} na {1} została umieszczona w kolejce.
Territory Wise Sales,Sprzedaż terytorialna
{0} cancelled this document {1},{0} anulował ten dokument {1}
Mark attendance as {0} for {1} on selected dates?,Oznaczyć obecność jako {0} dla {1} w wybranych dniach?
Current Job ID,Aktualny identyfikator stanowiska
Unrealized Profit / Loss Account,Niezrealizowany rachunek zysków i strat
Brute Force Security,Zabezpieczenia Brute Force
Edit Full Form,Edytuj cały formularz
Folio,Folio
Force Re-route to Default View,Wymuś przekierowanie do widoku domyślnego
Schedule sending at a later time,Zaplanuj wysyłanie w późniejszym czasie
Let us continue with the onboarding,Kontynuujmy proces wdrażania
Tax Exemption Declaration,Deklaracja zwolnienia z podatku
Memberships,Członkostwo
Transaction Settings,Ustawienia transakcji
Image Height,Wysokość obrazu
Maintenance,Utrzymanie
Investigated,Dochodzenie
Odometer Value,Wartość licznika kilometrów
To Deliver,Do dostarczenia
A Job Requisition for {0} requested by {1} already exists: {2},Zapotrzebowanie na pracę dla {0} zgłoszone przez {1} już istnieje: {2}
Trial Balance for Party,Bilans próbny dla strony
Re:,Re:
Lakh,Lakh
CSS selector for the element you want to highlight.,"Selektor CSS dla elementu, który ma zostać podświetlony."
Total Billing Hours,Łączna liczba godzin rozliczeniowych
Thank you for spending your valuable time to fill this form,Dziękujemy za poświęcenie cennego czasu na wypełnienie tego formularza
Amount should not be less than zero,Kwota nie powinna być mniejsza niż zero
Print Format Field Template,Szablon pola formatu wydruku
Upper Range,Górny zakres
Implement `clear_old_logs` method to enable auto error clearing.,"Zaimplementowano metodę `clear_old_logs`, aby umożliwić automatyczne usuwanie błędów."
Cannot mark attendance for an Inactive employee {0},Nie można oznaczyć obecności dla nieaktywnego pracownika {0}.
Over Order Allowance (%),Zezwolenie na przekroczenie zamówienia (%)
Too many changes to database in single action.,Zbyt wiele zmian w bazie danych w jednej akcji.
This employee has not received any feedback yet,Ten pracownik nie otrzymał jeszcze żadnej opinii
You hit the rate limit because of too many requests. Please try after sometime.,Osiągnięto limit szybkości z powodu zbyt wielu żądań. Spróbuj ponownie za jakiś czas.
new-quotation-1,nowa-wycena-1
Open,Otwarte
Search for countries...,Wyszukiwanie krajów...
Remove if Zero Valued,"Usuń, jeśli wartość wynosi zero"
Report limit reached,Osiągnięto limit raportów
Attendance marked successfully,Obecność oznaczona pomyślnie
Request Headers,Nagłówki żądań
Invalid state.,Nieprawidłowy stan.
Inter Transfer Reference,Odniesienie do transferu wewnętrznego
All Activities,Wszystkie aktywności
Questionnaire Email Sent,Kwestionariusz wysłany pocztą elektroniczną
Grievance Against,Skarga przeciwko
Custom Document Types Limit Exceeded,Przekroczono limit niestandardowych typów dokumentów
Your browser does not support the audio element.,Twoja przeglądarka nie obsługuje elementu audio.
Failed to delete defaults for country {0}. Please contact support.,Nie udało się usunąć ustawień domyślnych dla kraju {0}. Skontaktuj się z pomocą techniczną.
Warning: Updating counter may lead to document name conflicts if not done properly,"Ostrzeżenie: Aktualizacja licznika może prowadzić do konfliktów nazw dokumentów, jeśli nie zostanie wykonana prawidłowo."
Previous,Poprzedni
Average Rating,Średnia ocena
Actual Time (in Hours via Time Sheet),Rzeczywisty czas (w godzinach za pośrednictwem karty czasu pracy)
Switch Theme,Motyw Switch
Filtered By,Filtrowane przez
Automated Based on Goal Progress,Automatyzacja na podstawie postępów w realizacji celów
"string value, i.e. group","wartość łańcuchowa, tj. grupa"
Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period,Ocena {0} już istnieje dla Pracownika {1} dla tego Cyklu Oceny lub pokrywającego się okresu.
"Help: To link to another record in the system, use """"/app/note/[Note Name]"""" as the Link URL. (don't use """"http://"""")","Pomoc: Aby połączyć się z innym rekordem w systemie, użyj """"/app/note/[nazwa notatki]"""" jako adresu URL łącza. (nie używaj """"http://"""")."
Self Score,Wynik własny
"Custom Group Search if filled needs to contain the user placeholder {0}, eg uid={0},ou=users,dc=example,dc=com","Niestandardowe wyszukiwanie grup, jeśli jest wypełnione, musi zawierać symbol zastępczy użytkownika {0}, np. uid={0},ou=users,dc=example,dc=com"
Profit,Zysk
The limit has not set for the user type {0} in the site config file.,Limit nie został ustawiony dla użytkownika typu {0} w pliku konfiguracyjnym witryny.
Change Print Format,Zmiana formatu wydruku
This newsletter is scheduled to be sent on {0},Wysyłka tego biuletynu została zaplanowana na {0}.
Customer Defaults,Domyślne ustawienia klienta
This form is not editable due to a Workflow.,Tego formularza nie można edytować z powodu przepływu pracy.
Default Provisional Account,Domyślne konto tymczasowe
User Document Type,Typ dokumentu użytkownika
Autocomplete,Autouzupełnianie
Internal Customer,Klient wewnętrzny
Note: Your request for account deletion will be fulfilled within {0} hours.,Uwaga: Twoja prośba o usunięcie konta zostanie zrealizowana w ciągu {0} godzin.
To apply for a Half Day check 'Half Day' and select the Half Day Date,"Aby ubiegać się o pół dnia, zaznacz opcję """"Pół dnia"""" i wybierz datę pół dnia."
Prospect,Prospekt
Your form has been successfully updated,Twój formularz został pomyślnie zaktualizowany
Failed to generate preview of series,Nie udało się wygenerować podglądu serii
